Unnamed: 0,cluster,star,element,synth_teff,synth_teff_err,synth_logg,synth_logg_err,synth_MH,synth_MH_err,synth_vmic,synth_vmic_err,synth_vmac,synth_vmac_err,synth_vsini,synth_vsini_err,synth_R,synth_R_err,vel_atomic,vel_atomic_err,synth_x_over_h,synth_x_over_h_err,synth_absolute_abund,synth_absolute_abund_err,synth_nlines,snr
132,FSR_0278,G2181047516056358016,Mg 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.047298566956338606,0.0339,7.5327,0.0942,3.0,81.0
133,FSR_0278,G2181047516056358016,Mn 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.052231809034930674,0.0717,5.519,0.2043,6.0,81.0
134,FSR_0278,G2181047516056358016,Mo 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,-0.055625000000000015,0.098,2.1525,0.098,1.0,81.0
135,FSR_0278,G2181047516056358016,Na 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,-0.02366055433045143,0.0971,6.6132,0.1063,3.0,81.0
136,FSR_0278,G2181047516056358016,Nd 2,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.07183871612725845,0.0253,1.5056,0.0079,2.0,81.0
137,FSR_0278,G2181047516056358016,Ni 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.04572077015915804,0.0529,6.2466,0.0804,29.0,81.0
138,FSR_0278,G2181047516056358016,Pr 2,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.11755,0.1247,1.1845,0.1158,1.0,81.0
139,FSR_0278,G2181047516056358016,Sc 2,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.00912971138570208,0.0542,3.1618,0.047,5.0,81.0
140,FSR_0278,G2181047516056358016,Si 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.09171923081419113,0.0778,7.5404,0.1256,7.0,81.0
141,FSR_0278,G2181047516056358016,Ti 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.02311011022970512,0.0477,4.8458,0.0568,11.0,81.0
142,FSR_0278,G2181047516056358016,Ti 2,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,-0.013305879901802875,0.0746,4.8402,0.1405,11.0,81.0
143,FSR_0278,G2181047516056358016,V 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,0.031810639927444526,0.0584,3.8665,0.09300000000000001,17.0,81.0
144,FSR_0278,G2181047516056358016,Y 2,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,-0.016097232567315878,0.0284,2.1444,0.0672,2.0,81.0
145,FSR_0278,G2181047516056358016,Zn 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,-0.22578393596288016,0.114,4.0935,0.1121,1.0,81.0
146,FSR_0278,G2181047516056358016,Zr 1,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,-0.003725000000000013,0.098,2.6693,0.0943,1.0,81.0
147,FSR_0278,G2181047516056358016,Zr 2,4711.54,15.02,2.52,0.03,-0.08,0.03,1.5,0.02,4.03,0.0,3.4,0.08,45000.0,0.0,-0.19,0.21,-0.06432500000000002,0.12300000000000001,2.5661,0.1214,1.0,81.0
148,FSR_0278,G2181052910535303296,Al 1,4744.05,16.94,2.54,0.03,-0.1,0.03,1.5,0.02,4.04,0.0,3.16,0.09,45000.0,0.0,-0.16,0.21,0.09184125177084024,0.0249,6.5202,0.0359,3.0,81.0
149,FSR_0278,G2181052910535303296,Ba 2,4744.05,16.94,2.54,0.03,-0.1,0.03,1.5,0.02,4.04,0.0,3.16,0.09,45000.0,0.0,-0.16,0.21,0.053138517625843845,0.0109,2.1745,0.0119,2.0,81.0
